"Id";"Type";"Nature";"Caracteristique"
5639;"tête";"coiffe";
5640;"sous vêtement";"chausses";
5641;"autre";"épingle";
5642;"vêtement";"robe";
5643;"tête";"chaperon";
5644;"sous vêtement";"chausses";
5645;"ajusté";"gipon";
5646;"tête";"chaperon";
5647;"sous vêtement";"chausses";
5648;"vêtement";"robe";
5649;"parure";"ceinture";"brodé"
5650;"parure";"aiguillette";
5651;"sous vêtement";"chausses";
5652;"sous vêtement";"chausses";
5653;"ajusté";"gipon";
5654;"vêtement";"robe";"freppé"
5655;"vêtement";"robe";
5656;"cheval";"garnison";
5657;"extérieur";"houpelande";"freppé"
5658;"cheval";"garnison de selle";
5659;"vêtement";"robe";
5660;"sous vêtement";"chausses";
5661;"tête";"chaperon";
5662;"autre";"devise";
5663;"vêtement";"robe";
5664;"vêtement";"robe";
5665;"sous vêtement";"gonelle";
5666;"vêtement";"robe";
5667;"vêtement";"robe";"freppé"
5668;"sous vêtement";"chausses";
5669;"autre";"devise";
5670;"tête";"chaperon";
5671;"extérieur";"houpelande";
5672;"sous vêtement";"chausses";
5673;"sous vêtement";"chausses";
5674;"parure";"gant";
5675;"autre";"épingle";
5676;"sous vêtement";"chausses";
5677;"autre";"tapis de compte";
5678;"sous vêtement";"chausses";
5679;"tête";"chapeau de paille";"noir à frenge soie noir"
5680;"vêtement";"robe";
5681;"vêtement";"robe";
5682;"sous vêtement";"chausses";
5683;"autre";"cabas";
5684;"vêtement";"robe";
5685;"unknow";"inconnue";
5686;"vêtement";"veste";
5687;"vêtement";"veste";
5688;"vêtement";"veste";
5689;"vêtement";"veste";
5690;"vêtement";"robe";
5691;"cheval";"garnison de selle";
5692;"vêtement";"robe";
5693;"vêtement";"robe";
5694;"ajusté";"gipon";
5695;"vêtement";"robe";
5696;"militaire";"bandière pour trompette";
5697;"tête";"chaperon";
5698;"vêtement";"robe";
5699;"tête";"chaperon";
5700;"vêtement";"robe";
5701;"intérieur";"corset";
5702;"sous vêtement";"chausses";
5703;"intérieur";"corset";
5704;"sous vêtement";"chausses";
5705;"vêtement";"robe";
5706;"vêtement";"robe";
5707;"vêtement";"robe";
5708;"vêtement";"robe";
5709;"cheval";"garnison";
5710;"sous vêtement";"gonelle";
5711;"tête";"chaperon";
5712;"vêtement";"robe";
5713;"vêtement";"robe";"brodé"
5714;"vêtement";"robe";
5715;"vêtement";"robe";
5716;"vêtement";"robe";
5717;"tête";"chaperon";
5718;"sous vêtement";"chausses";
5719;"ajusté";"gipon";
5720;"sous vêtement";"chausses semellée";
